,,,,,,,,,,
,テーブル仕様書,,,,,,,,,
,,"こちらは受講生の皆さんが入力するシートになります。
こちらの仕様書は評価対象になりますので、提出時にアプリケーションと仕様が一致するか必ず確認してください。
また本案件の場合、テーブル数は9個以内で作成してください。",,,,,,,,
,,テーブル仕様,,,,,,,,
,,No.,テーブル名,カラム名,型,PRIMARY KEY,UNIQUE KEY,NOT NULL,FOREIGN KEY,ER図
,,XX,例）testsテーブル,,,,,,,
,,,,id,unsigned bigint,○,,○,,
,,,,user_id,unsigned bigint,,,○,users(id),
,,,,score,integer,,,○,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,1,userテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,name,string,,,⚪︎,,
,,,,email,timestamp,,⚪︎,⚪︎,,
,,,,email_verified_at,string,,,⚪︎,,
,,,,password,string,,,⚪︎,,
,,,,remember_token,string,,,⚪︎,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,2,profilesテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,,,
,,,,user_id,unsigned bigint,,⚪︎,⚪︎,user_id,
,,,,image_url,string,,,,,
,,,,post_code,string,,,,,
,,,,address,string,,,,,
,,,,building,string,,,,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,3,itemsテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,user_id,unsigned bigint,,,⚪︎,user_id,
,,,,condition_id,unsigned bigint,,,⚪︎,condition_id,
,,,,name,string,,,⚪︎,,
,,,,brand,string,,,,,
,,,,description,text,,,⚪︎,,
,,,,price,unsigned integer,,,⚪︎,,
,,,,image_url,string,,,⚪︎,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,4,categoryitemテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,item_id,unsigned bigint,,,⚪︎,item(id),
,,,,category_id,unsigned bigint,,,,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,5,conditionsテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,name,string,,⚪︎,⚪︎,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,6,likesテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,user_id,unsigned bigint,,,⚪︎,user(id),
,,,,item_id,unsigned bigint,,,⚪︎,item(id),
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,7,commentsテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,user_id,unsigned bigint,,,⚪︎,user(id),
,,,,item_id,unsigned bigint,,,⚪︎,item(id),
,,,,comment,string,,,⚪︎,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,8,ordersテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,user_id,unsigned bigint,,,⚪︎,user(id),
,,,,item_id,unsigned bigint,,⚪︎,⚪︎,item(id),
,,,,payment_method,string,,,⚪︎,,
,,,,post_code,string,,,⚪︎,,
,,,,address,string,,,⚪︎,,
,,,,building,string,,,,,
,,,,created_at,timestamp,,,,,
,,,,updated_at,timestamp,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,9,categoriesテーブル,,,,,,,
,,,,id,unsigned bigint,⚪︎,,⚪︎,,
,,,,name,string,,⚪︎,⚪︎,,
